Company,Location,City,Employee Level,Aboriginal,African Caribbean / African American,African Caribbean/Canadian,American Indian or Alaskan Native,American Indian or Pacific Islander,Asian,Asian / Asian American,Asian Lineage,Asian American,Asian-Pacific Islander,BAME,BIPOC,Black,Black + Non-Black POC,Black and Brown,Black and Latina,Black or African-American,British Indian,Diverse Group,Ethnically/Racially diverse,Hispanic,Hispanic or Latinx / Hispanic Latino,Hispanic or Latinx or Asian or Other,Latin American,Latina,Latinx,Maori,Middle Eastern,Mixed Race / Mixed Ethnicity,Mixed Race Asian,Multiracial / Multiple Ethnic Background,Native Hawaiian or Pacific Islander,Non-Black POC,Non-White,Other,Persian,POC / POC Non-White,Prefer Not To Say / Undisclosed / Not Specified,South Asian,SouthEast Asian,Two or more races,Unknown,White,White/Caucasian,% Check,Number Reported Employee,Reporting %,Male,Female,Non-Binary,Gender-Fluid,Prefer Not To Say / Unspecified,Check,LGBTQ+
Gap,USA,,Headquarters Employees,,,,,,27,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,5,,,,,,,,54,,54,,,,,,,,0,
Gap,USA,,Store Employees,,,,,,6,,,,,,,20,,,,,,,,27,,,,,,,,,,,,,,5,,,,,,,,42,,42,,,,,,,,0,
Gap,USA,,Store Leadership,,,,,,3,,,,,,,9,,,,,,,,17,,,,,,,,,,,,,,2,,,,,,,,70,,70,,,,,,,,0,
Gerard Cosmetics,,,Executive,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Gerard Cosmetics,,,Team,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,50,,,,,,,,0,,,,,,,,0,
Girlfriend Collective,,,Employees,,,,,,8.3,,,,,,,,,,,,,,,,,,,,8.3,,,,,,8.3,,,,,,,,,33.3,,41.6,,41.6,14,85.7,,,,,,0,
Girlfriend Collective,,,Leadership,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Glossier,,,Corporate,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,0,250,82,,,,,,0,
Glossier,,,VP or Above,,,,,,20,,,,,,,0,,,,,,,,,6.6,,,,,,,,,,,,,,,37,,,,6.6,,,,0,15,,27,73,,,,100,
Good American,,,All?,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,52,,52,,,,84,,,,84,
Good American,,,CEO,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Good American,,,Leadership,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,50,,,,50,
